1,2,3,4,5,6,7,8,9,10
100513801,101224271,喜瑞狮,135,1,1,10424263,龙在天皮影,16500,912994,
100513801,101224272,喜瑞狮,136,1,1,10424263,龙在天皮影,21000,913021,
100513801,101224273,喜瑞狮,137,1,1,10424263,龙在天皮影,35500,912975,
100513801,101224274,喜瑞狮,138,1,1,10424263,龙在天皮影,14700,913074,
100513801,101224275,喜瑞狮,139,1,1,10424263,龙在天皮影,13222,912959,
100513801,101224276,喜瑞狮,140,1,1,10424263,龙在天皮影,17666,912907,
100513801,101224277,喜瑞狮,141,1,1,10424263,龙在天皮影,15333,913023,
100513801,101224278,喜瑞狮,142,1,1,10424263,龙在天皮影,13333,913047,
100513801,101224279,喜瑞狮,143,1,1,10424263,龙在天皮影,13333,912991,
100513801,101224280,喜瑞狮,144,1,1,10424263,龙在天皮影,13333,912950,
100513801,101224281,喜瑞狮,145,1,1,10424263,龙在天皮影,37800,913017,
100513801,101224282,喜瑞狮,146,1,1,10424263,龙在天皮影,15299,912911,
100513801,101224283,喜瑞狮,147,1,1,10424263,龙在天皮影,19000,912880,
100513801,101224284,喜瑞狮,148,1,1,10424263,龙在天皮影,13866,913072,
100513801,101224285,喜瑞狮,149,1,1,10424263,龙在天皮影,20500,913030,
100513801,101224286,喜瑞狮,150,1,1,10424263,龙在天皮影,13888,912875,
100513801,101224287,喜瑞狮,151,1,1,10424263,龙在天皮影,299,913058,
100513801,101224288,喜瑞狮,152,1,1,10424263,龙在天皮影,12878,912946,
100513801,101224289,喜瑞狮,153,1,1,10424263,龙在天皮影,13300,912882,
100513801,101224290,喜瑞狮,154,1,1,10424263,龙在天皮影,19300,912922,
100513801,101224291,喜瑞狮,155,1,1,10424263,龙在天皮影,35000,912977,
100513801,101224292,喜瑞狮,156,1,1,10424263,龙在天皮影,28666,912956,
100513801,101224293,喜瑞狮,157,1,1,10424263,龙在天皮影,17750,912965,
100513801,101224294,喜瑞狮,158,1,1,10424263,龙在天皮影,13299,912910,
100513801,101224295,喜瑞狮,159,1,1,10424263,龙在天皮影,13500,912963,
100513801,101224296,喜瑞狮,160,6,1,10424263,龙在天皮影,39761,913013,
100513801,101224297,喜瑞狮,161,1,1,10424263,龙在天皮影,13556,912883,
100513801,101224298,喜瑞狮,162,1,1,10424263,龙在天皮影,37000,912889,
100513801,101224299,喜瑞狮,163,1,1,10424263,龙在天皮影,13220,913044,
100513801,101224300,喜瑞狮,164,1,1,10424263,龙在天皮影,12700,913043,
100513801,101224301,喜瑞狮,165,1,1,10424263,龙在天皮影,13299,913009,
100513801,101224302,喜瑞狮,166,1,1,10424263,龙在天皮影,12000,912921,
100513801,101224303,喜瑞狮,167,1,1,10424263,龙在天皮影,13334,913063,
100513801,101224304,喜瑞狮,168,1,1,10424263,龙在天皮影,299,913068,
100513801,101224305,喜瑞狮,169,1,1,10424263,龙在天皮影,13998,912985,
100513801,101224306,喜瑞狮,170,1,1,10424263,龙在天皮影,12990,912973,
100513801,101224307,喜瑞狮,171,1,1,10424263,龙在天皮影,13499,912978,
100513801,101224308,喜瑞狮,172,1,1,10424263,龙在天皮影,14999,913006,
100513801,101224309,喜瑞狮,173,1,1,10424263,龙在天皮影,12999,912982,
100513801,101224310,喜瑞狮,174,1,1,10424263,龙在天皮影,13777,913022,
100513801,101224311,喜瑞狮,175,1,1,10424263,龙在天皮影,15899,912931,
100513801,101224312,喜瑞狮,176,1,1,10424263,龙在天皮影,32888,912919,
100513801,101224313,喜瑞狮,177,1,1,10424263,龙在天皮影,13487,913048,
100513801,101224314,喜瑞狮,178,1,1,10424263,龙在天皮影,13659,913060,
100513801,101224315,喜瑞狮,179,1,1,10424263,龙在天皮影,19788.88,913056,
